,City Name,City ID,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
132,Provideniya,4031574,64.3833,-173.3,27.12,67,97,2.37
133,Tucumcari,5495360,35.1717,-103.725,66.2,32,1,3.44
134,Moramanga,1058532,-18.9333,48.2,62.11,99,28,2.01
135,Oxford,2640729,51.7522,-1.256,48.47,61,40,6.91
136,Berlevåg,780687,70.8578,29.0864,27.05,86,20,13.8
137,Blairmore,5903535,49.6,-114.4353,61.81,36,40,23.02
138,Lüderitz,3355672,-26.6481,15.1594,66.02,43,0,21.81
139,Kavieng,2094342,-2.5744,150.7967,81.43,76,79,5.28
140,Yumen,1528998,40.2833,97.2,65.64,10,68,6.46
141,Benghazi,88319,32.1167,20.0667,82.08,29,40,4.43
142,Koungou,1090225,-12.7336,45.2042,80.6,83,20,8.05
143,Flinders,6255012,-34.5833,150.8552,57.58,89,9,1.01
144,Barrow,5880054,71.2906,-156.7887,19.4,86,90,4.61
145,Azul,3436199,-36.777,-59.8585,70.0,53,0,12.93
146,Eureka,5563397,40.8021,-124.1637,57.13,77,91,5.01
147,Balkanabat,161616,39.5108,54.3671,75.6,43,52,5.86
148,Port Hawkesbury,6111867,45.6169,-61.3485,43.61,100,90,20.71
149,Thompson,6165406,55.7435,-97.8558,39.2,38,75,3.44
150,Karligan,1718367,14.975,122.0456,78.35,82,44,3.85
151,Östersund,2685750,63.1792,14.6357,36.32,69,75,14.97
152,Shūshtar,114584,32.0455,48.8567,89.29,11,0,4.52
153,Severnyy,496358,50.677,36.5532,62.6,48,0,8.95
154,Lagoa,3372964,39.05,-27.9833,58.05,62,10,4.81
155,Shelburne,6145890,44.0787,-80.2041,39.16,95,75,24.76
156,Anshun,1817968,26.25,105.9333,62.28,83,100,1.52
157,Sharanga,495767,57.1775,46.5396,49.48,69,100,18.77
158,Thoen,1150154,17.6129,99.2161,78.01,99,79,1.59
159,Wollongong,2171507,-34.4333,150.8833,56.05,89,10,1.01
160,Ostrovnoy,556268,68.0531,39.5131,25.34,86,100,8.68
161,Khuzdar,7082481,27.7384,66.6434,67.91,51,69,7.27
162,Ruteng,1629380,-8.6136,120.4721,62.78,92,25,0.54
163,Rionegro,3670730,6.1552,-75.3737,62.87,82,75,3.44
164,Tessalit,2449893,20.1986,1.0114,105.39,5,75,15.64
165,Kavaratti,1267390,10.5669,72.642,84.83,73,17,8.68
166,Cabo San Lucas,3985710,22.8909,-109.9124,82.98,32,1,8.05
167,Hualmay,3939761,-11.0964,-77.6139,72.59,71,9,9.57
168,Papetoai,4033910,-17.4961,-149.8729,77.88,78,75,2.3
169,Pisco,3932145,-13.7,-76.2167,69.03,78,0,12.66
170,Shubarshi,608270,48.5872,57.1869,52.79,39,4,7.36
171,Hofn,2630299,64.2539,-15.2082,35.6,80,90,12.66
172,Maningrida,2067089,-12.0667,134.2667,72.12,84,79,8.05
173,Smithers,6149996,54.7804,-127.1743,46.4,76,90,2.3
174,Priyutovo,505014,53.9,53.9333,45.9,53,42,6.91
175,Hātā,1270232,26.7461,83.7403,85.53,30,27,8.66
176,Lodja,211647,-3.4833,23.4333,71.02,99,99,0.38
177,Basco,1726449,20.4487,121.9702,77.99,81,1,7.11
178,Barreiras,3470583,-12.1528,-44.99,83.53,49,90,4.12
179,Quatre Cocos,1106643,-20.2078,57.7625,78.39,78,40,14.97
180,Nha Trang,1572151,12.25,109.1833,80.6,78,20,2.3
181,Mayumba,2399001,-3.432,10.6554,79.95,86,100,4.72
182,Chokurdakh,2126123,70.6333,147.9167,-1.64,95,31,4.16
183,Fairbanks,5861897,64.8378,-147.7164,30.11,74,90,11.5
184,San Cristobal,3628473,7.7669,-72.225,82.4,65,75,5.75
185,Road Town,3577430,18.4167,-64.6167,81.84,74,40,10.36
186,Cauquenes,3896105,-35.9671,-72.3225,65.79,51,100,12.77
187,Ossora,2122389,59.2353,163.0719,30.0,92,98,4.12
188,Souillac,933995,-20.5167,57.5167,78.8,78,40,14.97
189,Utrān,1253640,21.2333,72.8667,84.2,84,94,3.44
190,Cap Malheureux,934649,-19.9842,57.6142,78.01,81,8,5.99
191,Kayerkan,1497337,69.3497,87.7602,18.41,90,61,3.87
192,Ribeira Grande,3372707,38.5167,-28.7,62.6,67,75,6.91
193,Saint George,5546220,37.1041,-113.5841,80.1,21,15,2.51
194,Yairipok,1252810,24.6667,94.0667,69.39,73,80,2.35
195,Puerto Colombia,3671497,10.9878,-74.9547,91.4,49,40,9.22
196,Rafai,236524,4.95,23.9167,71.6,81,93,2.39
197,Camaçari,3468031,-12.6975,-38.3242,77.0,83,75,13.8
198,Williston,5692947,48.147,-103.618,73.99,34,100,5.01
199,Nagornskiy,558209,58.7731,57.5451,30.0,52,83,4.27
200,Karasjok,779350,69.4719,25.5112,26.6,100,90,19.57
201,Devonport,2168943,-41.1667,146.35,51.42,95,15,6.4
202,Inta,1505579,66.0317,60.1659,30.06,72,67,10.8
203,Maţāy,352628,28.419,30.7792,94.66,9,0,19.71
204,Ponta Do Sol,2264557,32.6667,-17.1,59.88,46,11,8.01
205,Heihe,2036973,50.2441,127.4902,37.4,70,40,8.95
206,Joshīmath,1268814,30.5667,79.5667,56.68,67,88,6.44
207,Kaka,161901,37.3482,59.6143,73.85,49,96,2.01
208,Sistranda,3139597,63.7256,8.834,41.0,70,75,9.22
209,Zhangaözen,607610,43.3,52.8,66.09,32,81,12.39
210,Bom Jesus,3405304,-9.0744,-44.3586,88.74,41,86,4.47
211,Timbiquí,3667070,2.7717,-77.6654,74.3,95,100,0.72
212,Betioky,1066310,-23.7167,44.3833,72.55,70,42,3.96
213,Pevek,2122090,69.7008,170.3133,13.35,93,100,10.29
214,Jesús María,3853510,-30.9815,-64.0942,74.59,43,0,17.27
215,Saskylakh,2017155,71.9167,114.0833,31.96,86,100,10.04
216,Geraldton,2070998,-28.7667,114.6,53.6,71,81,8.05
217,Aasiaat,3424901,68.7098,-52.8699,33.8,77,80,7.11
218,Sulangan,1685422,11.1373,123.7228,82.06,79,68,9.1
219,Pozo Colorado,3437443,-23.4923,-58.7972,86.83,24,0,6.08
220,Mount Gambier,2156643,-37.8333,140.7667,57.2,54,100,8.05
221,Littleton,5429032,39.6133,-105.0166,72.18,24,0,1.01
222,Zacatlán,3514148,19.9333,-97.9667,68.63,69,97,7.76
223,Mandera,187896,3.9366,41.867,88.61,47,75,5.48
224,Novobelokatay,519027,55.7062,58.9549,38.1,69,75,3.96
225,Belmonte,3470137,-15.8631,-38.8828,80.6,65,40,8.05
226,Lashio,1314759,22.9333,97.75,67.1,87,68,2.42
227,East London,1006984,-33.0153,27.9116,60.8,77,0,11.5
228,Egvekinot,4031742,66.3167,-179.1667,18.48,93,100,2.17
229,Cherskiy,2126199,68.75,161.3,-1.75,99,99,1.81
230,Río Gallegos,3838859,-51.6226,-69.2181,41.0,93,75,13.8
231,Abu Samrah,172515,35.3029,37.1841,72.97,30,0,11.3
232,Griffith,4920986,41.5284,-87.4237,49.14,61,1,14.97
233,Rocha,3440777,-34.4833,-54.3333,70.52,52,2,7.49
234,Zaozyornoye,687726,45.1582,33.2787,55.0,66,67,7.52
